,comment,label
18,"There are simply not enough words to express how thankful I am to Tristian!!!! He is 500 stars!!!!!!!!!!!!! He helped me and my husband to get a couple of business tickets at an unbeatable price. Tristian is the best!!! He is incredibly professional, super friendly and soooo patient!!!! And he got back to me in no time to answer any and every question I had!!! Tristian is a wonderful asset to FlyWorldClass and they are so lucky to have him!!! Thank you, Tristian, for all your help!! You have been absolutely wonderful, and we will definitely contact you again for any future trips!!! THANKS, THANKS, THANKS!!!!!!!!!!",Postive
19,Great service!  Tristian was excellent: I loved his openness and efficiency.  Saved a good 40% on a business class ticket from DC to Frankfurt.,Postive
20,"Tristian’s customer service, knowledge and flexibility far exceeded my expectations.  We were able to secure Business Class for a significantly lower price.  Thank you!",Postive
21,Shelly was awesome to work with!  Will definitely be working with her in the future! And we saved enough to almost cover our hotel stay!,Postive
22,I am currently working with Neil and so far things seem OK. I gave it 3 stars because of personnel turnover. Neil is my 3rd agent in 5 months. The first 2 are no longer with the company.,Postive
23,"Neil Cruz was responsive, professional and pleasant to work with.",Postive
24,"Paul is great to work with, he is knowledgable and helpful. We will always book flights with him.",Postive
25,"We only just booked the trip, but booking experience with Shelly Tan was great.  Hopefully, we will be as happy with our trip.",Postive
26,first class operation-   Tristian ( our agent )  is as good as it gets... 100% satisfied,Postive
27,Our experience with FlyWorldClass.com was very satisfactory.  Shelly was very helpful and found us the exact flight that we were looking for in a very professional manner.  We can highly recommend this company and would use them again for our future flight needs.,Postive
28,"Neil was professional, efficient, and easy to work with Thank you",Postive
29,Neil  Cruz has given us excellent service and always available on the phone to answer my questions,Postive
30,Excellent service great staff and very helpful.,Postive
31,Excellent service! Matt was so patient with my husband and I that are not very tech savvy. Would recommend to anyone!!!,Postive
32,"Matt was great, very responsive and hard working",Postive
33,Matt was friendly and clearly interested in exactly what our priorities were. He was very clear that it may take a week or two to find the fare we were looking for. To his word he came back with a great fare to Australia ($1500 less per traveler than the anything comparable we could find) and not on some obscure carrier but on the 5 star Cathay Pacific. He followed us completely through the booking process. I will be sharing this experience with all my friends as FlyworldClass.com has proven to me to be the real thing in a field of characters making huge claims they don't come through on. Thank you Matt,Postive
34,Toby was wonderful to work with . He is the reason I will use Fly world class again thanks Toby,Postive
35,"Paul Andrew is very understanding. Readily available,and efficient. No hesitation to seek his help again and to recommend him for others. God bless him.",Postive
36,CHRISTY MY AGENT WAS SO AMAZING SHE NICE. SHE GAVE ME HER TIME AND PATIENT.  I LOVE AMAZING AGENT. IN WHICH CHRISTY IS,Postive
37,"I have had nothing but trouble dealing with this company during the pandemic. We have gotten the total run around trying to get a refund for a flight that was changed, despite the fact that the Department of Transportation has instructed the airlines to do so amidst all the travel dilemmas. We have been trying to get this resolve since early June, and have been put off at least a dozen times with excuses.Now we cannot even get on the scheduled flight because our destination won’t allow Americans in. Our agent, Steve, does not answer our voicemails, nor does he answer his phone. We will never use a consolidator again for Business travel—or certainly not this one. If there is any customer service agent with this company who might be interested in helping us, Please respond to this review. I have been told that I must pay a fee of $500/ ticket for my husband and me to get any money back.  As a senior citizen who has compromising health conditions, I should not take this flight, even if I were allowed into the EU. No one seems to care...",Negative
38,"Always quick and friendly - although sometimes the payment system is not altogether clear/ straightforward. Regina is a star! Cheers, Nick W.",Postive
39,Excellent service.  Steve Kaplan is wonderful.  Always there with the best route,Postive
40,"Leo pulled off a perfect flight combo that I needed, all Business class, for an amazing price compared to what was available. All on British Air and American. Unreal!!! So glad a client told mine about the company and Leo.",Postive
41,Steve is straight forward and very informative. This is my second transaction with him and it has been smooth sailing!,Postive
42,Great Service - knowledgeable agent,Postive
43,"I don't fly.  My wife and I drive.   So arranging a complicated flight like this one was well over my skill level.  Regina was patient, efficient, and let me change things until they were perfect.  I appreciate everything she did and her cheerful attitude (at least on the screen!) while I asked questions and changed things.",Postive
44,"Greg is excellent to work with.  He responds quickly to additional questions, is patient and polite.  He is also accurate and pleasant to talk with.",Postive
45,Flight coming up in a  few weeks but Leo was patient and helpful and was able to get me a good price and was very happy with them. Would absolutely use them again and if considering Business Class flights you should consider getting a quote from them  = nothing to lose but comfort and convenience to gain,Postive
46,"Very patient, perceptive and professional.",Postive
47,Steve Kaplan is simply the best! He knows which routes and aircraft to fly to make the trip more comfortable. The prices can't be beat.,Postive
48,It was wonderful working with Adam. His first price was great and he was more than willing to work with me to get the schedule I wanted for very little more. I really liked that he gave me alternatives  so I could choose the airlines and schedule I preferred and a price much better than direct with the airline,Postive
49,Excellent service! Steve is both knowledgeable and very pleasant to deal with.,Postive
50,"Pleasure working with Greg Pavlovsky; I used him few times over the years; he is knowledgeable, efficient and friendly.",Postive
51,Excellent experience. Our final opinion will rest on the booking having no glitches once we take the flights!,Postive
52,I have used IFly Business for many years and am always impressed by Steve Kaplan’s ability to find the best fares. He is a true professional and I highly recommend him to any traveler who seeks a discounted business class or even regular fare. Ira Bindman 2/18/20,Postive
53,Adam is a no nonsense guy and moves fast.... great service.... thanks,Postive
54,"Timely, honest and always available",Postive
55,Easy and delightful service.   Thank you!,Postive
56,Good Customer care department and really concerned about client's  issues and do their best to resolve it.,Postive
57,Got best price for return tickets but unfortunately had to cancel due to Covid-19. Rishabh and Ankush gave really good service during whole cancellation process.  Thanks a Lot Guys.,Postive
58,"It was really nice experience. Ankush ,rishabh helped me a lot.i have received best price .all the employees were very patience with service..I recommend everyone to ask ankush if you need any help .rishabh I m very thankful to you for helping me in very complicated situation .",Postive
59,Great assistance by Parveen. Very helpful gesture. Thank you so much for the great assistance.,Postive
60,It was really great. Ankush helped me so much . I am so happy with Ankush's service. I will call Mintfares.com for next time too.Thank you Ankush.,Postive
61,Aanchal did a great job she gave me a great deal on the spot in a good price...and i am very happy....,Postive
62,Ripped me off 250$. Took advantage of corona crisis. Shame on them !!,Postive
63,Ankush was a great help and he explained me each and everything clearly and nicely. My first experience with mintfares was great due to this guy.,Negative
64,Ankush Kaushal served well and the service was good.,Postive
65,"Very honest,cooperative and helpful . Ashish thanks",Postive
66,"Overall  experience is good. MrAnkush,one of the mint fare representatives , I spoke with him ,he is really good and having good communication skills.",Postive
67,Mr.Jeet was very helpfull till the last minute. he was partient and responded to all the questions i had. Thank you to Jeet and the team behind him. Keep up the good work.,Postive
68,"Ankush you are the best, I gave him so much trouble just bcoz I was so confused with my travel plans but Ankush helped me get the best flight for the best rate. Truly appreciate your help and your professional behaviour. Way to go buddy. Cheers.",Postive
69,Great service has been provided by Navjot Singh and Thank you.,Postive
70,Best service have been provided by Aashish and Aanchal. Thank you guys,Postive
71,Jeet is such an amazing customer service rep. He was very smart at understanding what are our requirements and gave us good tickets at very competitive price.,Postive
72,I always prefer this site because every time I got very good price This time Aanchal Verma gave me good price and co-operative on phone as well.,Postive
73,"she provided best deal, it's quite cool while discussing with her to complete the booking process",Postive
74,Travis really patient about the all the information i have requested. At first i quite afraid this kind of business class is a scam n i have read a lot review in google. Finally i vhoose5 yes fare travis as a agent toh elp me proceed my flight from new york to kuala lumpur. Definitely i will look for him again as so far yes fare has givibg a best rate among other website,Postive
75,Agent Travis have been taking care of us for years. This time Travis personally helped us to get a complete refund for our flight! All this without getting paid. It took 3 months and he kept working with the airline to get our money back. We ware still amazed and very thankful,Postive
76,"I was looking for a trip to Czech and as I like to explore; I give a shout to yesfares. At first I thought that it may be scam as I got scammed prior; but taking a risk and buying from yesfares assured me that this will be the only site I’ll be only buying from. Travis found me a such a perfect connection, for requested price with no hassle! I was probably pain in the a** still rejecting his offers (even when they were good); but as I was picky person inward looking for best connections possible - and he found it! We’re easy to work with, very responsive, very organized! Good bye Expedia and other big companies.... this is my site now!",Postive
77,Travis did a wonderful job getting my refund due to COVID-19. And keeping me patient during the process. I will definitely use him again !,Postive
78,I don't think my review alone would do justice to thr service I was provided it was top of the line it was humble it was perfect and it was absolutely catered to my needs. In the most busy time of the year considering the whole pandemic they were able to offer me amazing service and rates to attend a very important family gathering/reunion. I cant thank the staff especially travis enough who was simply amazing. Would always be happy to come back and more and highly highly reccomend them. Will add more once i have flown but I don't forsee any issues,Postive
79,Travis was very patient and willing to help me even though I kept changing dates and locations. He gave me lots of options to choose from and was very helpful all along the way. I would highly recommend Yes Fares and will be using them again.,Postive
80,"Daniel , was great and polite and helpful",Postive
81,"we had the BEST experience dealing with Travis at Yesfares !! Not only did he get us great flights at most reasonable prices, he was always prompt in responding to any and all of my concerns ... and when all of our best laid plans fell apart due to covid19 shutdown, he was wonderful in keeping us informed of any and all steps necessary to receive a refund !!  He filed on our behalf with our transatlantic carrier and stayed on top of developments until a refund was posted to our credit card !! Throughout he kept in touch and made me feel I had a PERSONAL AGENT at Yesfares !!  Cannot thank him enough ... he is a great guy and super travel agent !!",Postive
82,"During time of Covid19, travel plans change. Great to use a travel agent to take care of the headache. Great job!",Postive
83,"Prompt, professional service, and excellent fares. Kudos to Luke Jacob for his tremendous customer service.",Postive
84,"YESFARES provided me with an excellent full service trip booking. Being a handicapped international traveler I felt very safe and that all of my needs accommodated including wheel chair service at every stop. Every call I made toYesFares, Bart immediately knew who I was and every detail of my trip. . Since the trip had to be cancelled YESFARES enabled for me to receive an immediate full refund. Without a doubt I will always book my trips with YES Fares in the future. I had no doubt that my trip would be an excellent and safe trip. The service really can not be better. Randall Austin",Postive
85,Bart did an amazing job of staying the course to ensure that our airfare was refunded due to COVID-19. The initial experience of booking our flights was seamless with attention to detail throughout the process. I will definitely use yesfares again when booking travel in the future.,Postive
86,Rick was super helpful and flexible as my travel plans changed. I really appreciated his efforts and I would use the service again and recommend to friends.,Postive
87,"TRAVIS PROVIDES TIMELY, ACCURATE SOURCING OF EXCELLENT PREMIUM CABIN DEALS WITH THE WORLDS LEADING AIRLINES.  I WILL CONTINUE TO RECOMMEND HIM TO COLLEAGUES, FRIENDS AND FAMILY.",Postive
88,"During a very stressful time, I got excellent service from Bart Bajra. He was respectful, helpful, prompt and very professional! When this pandemic passes, I will again contact YesFares because of their great service and prices and pursue the travel dream that got interrupted. Thank you Bart!",Postive
89,Erik Olsen who helped with mu booking was very helpful and responsive to all the questions we had. Would definitely ask for him for future bookings,Postive
90,"They especially Erik, made a very trying time to be traveling by air more comfortable. They stood by their word and made us whole in a timely fashion .",Postive
91,"""In my experience Travis of LuxFlightExpert is very knowledgable and helping individual on providing reliable reservations for international travel. In 2019 he helped me, my wife and four friends book flights in business class for trip to Russia from New York. He was kind to explore various options based on convenience and price. We found this trip to be very comfortable and smooth. This year we approached him to book a multi-destination trip to Europe for mine and my daughter's family. All reservations were done very well, but unfortunately we had to cancel due to Covid-19 pandemic. Travis was diligent in carefully dealing with three airlines to cancel and arranged for refunds. We greatly appreciate his service."". Ramesh Hemrajani",Postive
92,I have worked with Travis for years. He is the best. He gets to “yes” for his clients all the time.,Postive
93,"Travis at lux flight was absolutely sensational. He first got us excellent tickets and prices for them on our trip from LAX to Venice Italy. When the trip was cancelled because of the virus he immediately got our money back from British Air with no hassel I have worked with other travel agencies over the last 20 years and have never been more pleased with anyone .   they are great, and I strongly say I would use them again. Allan M. Shanberg MD",Postive
94,I bought some miles for my Emirates account and immediately the miles were on my account after The Points Trader received the wire transfer. The Points Trader has an excellent service with unbeatable prices! Thank you!,Postive
95,"Very professional and super responsive throughout weekdays, weekends and even on a national holiday. Worked as it is intended",Postive
96,Fantastic prompt service from Thepointstrader today ! With the help of Karan I bought My points for less than half price. Highly recommend. Jon.,Postive
97,great! fast and excellent!,Postive
98,"Karan is very easy to work with and communicates very well. Sometimes using a service like this take a leap of faith, but Karan will come though for you and is very fast and efficient about it. Saved me +/- $5,000 on two business class tickets by using his service and when I need to travel again The Points Trader will be my go to one stop shop. Thanks",Postive
99,Karan good communicator and competitive pricing,Postive
100,"awsesome experience, highly, highly recommended",Postive
101,"Awesome! So fast, so clear! Highly recommend!",Postive
102,Dude straight up...I was hella skeptical to use The Points Trader...however I searched high and low for other reviews besides what is posted for them. I was honestly looking a bad review not going to lie but it is absolutely not one bad review.....had me scratching my head like crazy so I just went ahead to and emailed them for a quote and right awa a person by the name of Karan responds and Quick! So we chat about how it works and such and such then I turned to my wife bc it was an emergency that needed the miles so I did it..... long story short of course it seems sketch and a lot of people are going to be scared to bank wire the amount of money that you get quoted but I tell you what it worked and Karan was there every step responding lighting quick and I’m on GUAM for crying out loud Karan was QUICK and the miles showed to my account literally a day after I transferred the money.....I am a frequent flyer going crazy places all the time so are my colleagues and friends I am %1000 referring them to The Points Trader they are awesome and I will be using there services again very soon so how we say on GUAM Hu guaiya hao (I love you) The Points Trader,Postive
103,"Karan was professional, efficient and got the job done, quickly. Great customer service.",Postive
104,"It was a pleasure dealing with Karan! He's prompt with responses and answered all my questions & quiries throughly. He didn't have the points available at the time payment was made, but points were transferred soon, at the time they were promised. Very trustworthy and excellent service, would highly recommend!",Postive
105,"Excellent service - will use again Fast, efficient and above all trusted.",Postive
106,"It was a great experience.  All questions that I had asked were answered at a timely manner.  Once the process went through, the points that were promised were sent into my account.  Great experience overall.",Postive
107,Excellent and efficient execution from start to finish. Highly recommended.,Postive
108,It was a pleasure dealing with Karan who was honest and communicated very promptly. I would highly recommend his services.,Postive
109,A very efficient process from start to finish.  First rate customer service from Karan.  I will definitely use again.,Postive
110,"Everything as discussed and expected. Thanks, Karan",Postive
111,Nice reasonable price for miles. My assistant looked after me very nice!!,Postive
112,"I really happy to have a trip with this company, every thing is beautiful!",Postive
113,I have a nice experience with Eightydays despite the fact that we were not able to travel the whole trip because of pandemy. Their customer care Team tried their best to help me and my husband and actually followed-up with us. We really liked your website! It's easy to use and gives us time to dream. Keep it up!,Postive
114,In our pandemic situation my trip was cancelled. Instead it eghtydays gave me a gift certificate for the next trip. Thanks!,Postive
115,"I was so pleased to find this site to be able to book a once-in-a-lifetime trip at an excellent price.  Unfortunately we were never able to go due to Covid-19.  However, I was so pleased that they worked to get all of our money back to us as quickly as possible.  We will definitely try again!",Postive
116,Absolutely professional people. Loved how they put everything together originally and then helped me make adjustments when they became neccessary during the coronavirus uptick in Europe. All our tickets were solid all the way through. I would use this service again for a longer trek throughout EU. I plan to!  Great company! P.S. I strongly recommend people to have a very RELIABLE email address. Topnotch Service depends on you getting at your email. Kimberly Graber,Postive
117,"They were very helpful and accommodating! During the scare of this virus, it was really nice working with them to get my trip moved around. I would definitely recommend using Eighty Days!",Postive
118,Eighty Days was very prompt in replying and very easy to work with. I highly recommend using them for your next trip.,Postive
119,Eightdays.me not only excels at offering a great experience when booking trips. It also offers an amazing costumer service! They were the ones who approached me to cancel my trip after the COVID-19 outbreak. So glad Eightydays.me lifted off this weight of my shoulders so I didn't have to deal with different airlines and go through the frustration of not knowing what to do. I will definitely book with them again!,Postive
120,Absolutely awesome. Covid 19 definitely ruined my spring trip plans but these guys handled it very well. Definitely recommend. Amazing customer service and prompt replies,Postive
121,Very helpful and spontaneous in answering requests. They have helped me all along the way. I fully recommend their services.,Postive
122,have experience ordering here. Very good communication and fast response.,Postive
123,"Have had to reschedule my journey due to COVID-19. Eightydays responded instantly and offered a certificate to take a journey at a later date. Great communication, and very prompt. Would highly recommend.",Postive
124,"Initially, when I found the service I was hugely surprised with the functionality it offers, so as soon as I had a possibility I booked a trip over Spain and Germany. The process was smooth and convenient. Unfortunately, later all that coronavirus situation started to explode and I was unsure if I should go or not, especially after I've heard the news from cities which were on my trip schedule. I was surprised by the empathy from the Eightydays support and management when they offered me a certificate of the same amount I spent in case I'm not going for the trip. This is generous and shows the responsibility and great attitude to customers. Will spend it and go on a trip as soon as the situation over the world stabilizes. Recommend!",Postive
125,"'Eightydays' is great! I used it twice. All flight check-ins were done automatically and I have just received a ticket. Also, during the whole trip had possibility directly communicate with them in a short amount of time. In case of any delays or problems I received help from them. In March 2020 I planned a trip to Italy and Malta. But because of coronavirus all flights to Italy were canceled and then also to Malta. Eightydays have not only refunded the whole trip-price, but also gave me a friendly certificate for future use. I definitely recommend and will use eightydays.me for my future trips!",Postive
126,Booking was absolutely seemless! Great deal. This service opened up the world to us when we travel to Europe. I have had to interact several time with customer service due to the coronavirus... And they have been STELLAR!!!,Postive
127,My friends and I did a 16 day trip with 6 different cities. Not only was booking so simple and affordable we were always prepared with boarding passes and proper check in information throughout the entire trip. One of my travel partners wanted to change the status of her ticket to include a checked bag while on the trip and the Eightydays.me took care of everything and within a few hours all updates were made. I cannot recommend this service more and will defiantly be using them in the future.,Postive
128,"Due to the virus our trip was endangered, flights were cancelled one after another. Eightydays stayed on top of the situation and provided new tickets without extra pay and without any problem. They saved our journey and our nerves. Definitely recommend. Thanks a lot!",Postive
129,"It's cool, bro",Postive
130,Very cool services! With tickets all was be ok and we haven't no one problem in trip! Thank you! I will use it again :),Postive
131,2nd time all good. Best price per mile honest folks and once done they remind you to update your password.,Postive
132,Although Covid-19 has affected the market price of miles we were still able to get a better price per mile than if we booked through Delta.  Will definitely use many more times in the future.,Postive
133,"Program worked as promoted. Customer service answered all questions and follow-up was excellent. When I had a ""hold"" from Pay Pal, Cash for My Miles ""pushed"" it through and the money was in our bank account in a day.",Postive
134,It was easy. Thanks for your help! It was a relatively easy process. And appreciate the trust.,Postive
135,"Was somehow doubtful that this could work, but my experience with this service was very excellent, I would definitely recommend to my friends.",Postive
136,Quick negotiation and payment.  I recommend.,Postive
137,"Fast, courteous, easy",Postive
138,"Absolutely excellent all the way. Prime communication via phone and email, and excellent timing on that front for your funds mailed and your miles used. I also appreciated the fact my numerous miles were used in one fell swoop for a client going from San Francisco to Paris, rather than towards bunny-hops for this or that destination. This company keeps you in the loop all the way. Highly recommended.",Postive
139,Evan talked me thru the process and I received my check in 5 business days as promised.,Postive
140,I posted a bad review but was proven wrong due to there concern for there customers and identify theft..they would not be able to do buisness with me or my wife... We had had our identitys stolen before so we use diffrent emails and address for our paypal and accts..we talked and we understand and respect there decisions  protecting there clients from any risk of fraud or identity theft and having been in the same situation ourselfs CASH FOR MY MILES IS THE REAL DEAL I RECOMMEND EVERYONE GIVE THEM A CHANCE THEY ARE VERY BUSY IF THEY DONT GET BACK TO YOU RIGHT AWAY BE PATIENT IT WILL BE WELL WORTH IT,Postive
141,"Great experience selling my miles on the site. I had a couple questions and the customer service representative was polite, detailed, and very transparent about the process. Prompt payment was initiated to my Paypal account, overall very satisfied!",Postive
142,"Had to call back a few times after filling out the form but once I got Rachel on the phone, I had my PayPal payment within 20 minutes. Amazingly fast and legit. Thanks!",Postive
143,These guys are the best! They helped me liquidate my miles at a great rate with immediate payout.,Postive
144,"We just had another newborn and haven’t traveled in a while. Have no plans on traveling anytime soon so we decided to sell our miles. We checked all the different websites and at the end decided on this site. They paid out the most and payment was received within the same hour! We were extremely pleased with the service and the quick turnaround as they advertised. We had over a million miles with AMEX, Chase, and Delta combined. We sold off the remainder of our 106K miles. I would highly recommend this site to anyone out there that is shopping around. We did all the homework and calling around for you guys!",Postive
145,"Excellent service. Thank you for Very fast and smooth transaction, highly recommended",Postive
146,"Great experience, everything was as promised and transparent.",Postive
147,"A great experience, couldn’t be more satisfied!",Postive
148,They made everything easy for the booking process. And I know that my clients will be taken care of very well!,Postive
149,Ride was on time and clean. Driver was safe.,Postive
150,This is my 3rd trip using this company! AWESOME all the way around!,Postive
151,I’ve used this service twice this year. Always on time and very accommodating.,Postive
152,"I have found Limo 4 Less a wonderful transportation company, dependable with great customer service!",Postive
153,"Fantastic service, very reliable, courteous and great staff.",Postive
154,"I have used Limo 4 Less for several years now and have found each person to be helpful and friendly.  The drivers are always early, professional and I can leave the driving to them.  The prices are lower than most companies in the area as well.",Postive
155,"Professional driver, came early to airport by monitoring our flight, super clean car",Postive
156,I requested the car the day before my trip.  Everything went smoothly.  They were on time.  The car was very clean and the driver was very polite.  I definitely will use Limo 4 Less again.,Postive
157,"Awesome service, on-time and reliable",Postive
158,"This is the best limo service I have encountered. They are reliable, professional and flexible. I have been utilizing their service for over 5 years .",Postive
159,The Driver was very professional Very clean vehicle We use limo for less all the time And I always  recommend them to  our family and friends,Postive
160,Always polite and professional. Thank you.,Postive
161,"Very last minute need at for Holiday travel.  Timely, friendly and curteous.  A-one!",Postive
162,"As an infrequent traveler, I am prone to a mistake here and there. Luckily for me, Sayad helped me to correct my itinerary and get me onto the right road! After getting everything set up for the ride to and the ride from the airport, I had to phone him to update that the trip had been cancelled due to the corona virus.  No problem! He confirmed cancellation and refund.  So pleasant, too! I have entered Limo4Less into my phone as they will definitely be my go to number when we need transportation!  The prices are very reasonable, too. Thank you, Limos4Less!",Postive
163,Great customer service. Plane arrived on time. Pilot was very helpful and took care of customs paperwork and luggage. Flight was smooth and inside of the plane it was not as loud as I thought. Definitely recommend.,Postive
164,Terrific flight with a very attentive and professional crew.,Postive
165,"I worked with Justin and his communication was excellent throughout the entire process. From pricing different aircraft, selecting what was best for me and during the flights as well. He was able to solve a number of issues and I wouldn’t have trusted working with anyone else. Highly recommend.",Postive
166,They did a great job!  Everything was as discussed and expected!,Postive
167,"My wife and I needed a flight out of Colombia during covid to get back to the USA.  We were also traveling with our 2 dogs.  In steps Blake at Monarch and everything went smoothly.  We even had to change our flight dates to a week earlier and he was able to get us on a flight with no hassle.  Overall, we had a great experience, the plane was top quality, pilots were kind and communicated very well. We will definitely work with Monarch in the future for any our private flight needs.  I highly recommend this company. Great company.",Postive
168,"Quick follow up to my original review.  Blake did a fantastic job getting my dog and me a flight! No hassle, no games, fair price, good service, and worked very hard to help me understand all the rules associated w my flight (hazmat questions, car transport, FAA regulatory consideration).  Great experience will definitely use again",Postive
169,NOT your usual private charter customers. However since we were relocating to Ecuador in the midst of a pandemic with two huge dogs we had few options. Monarch Air Group held our hands through everything. Helping with documentation for us and the dogs. We generally don't give 5 star reviews I figure there is always room for improvement. Frankly I'd give them a six if I could,Postive
170,I couldn't recommend Monarch enough. Christian was a great help in getting my wife and myself out of Colombia during the present travel restrictions. He was always attentive to our questions and they facilitated all of the paperwork with the Colombian government. A great experience in these uncertain times.,Postive
171,I needed to relocate back to CO from NJ with three cats. Impossible to do on a commercial flight by myself.  I contacted Monarch Air Group. I had a lot of questions and needed a lot of reassurance and Justin at Monarch was always available and responded immediately. The customer service I received was excellent and everything went smooth as promised!,Postive
172,"Justin Collum worked with me every step of the way, by phone, text and email, to ensure a positive and successful experience.  Our flight was smooth and uneventful and achieved our purpose with virtually no problems.  Justin was easy to work with and quickly responsive to needs that arose during the planning and execution stages.  On several occasions he instantly responded to my West Coast texts that landed in his East Coast message box after midnight.  I highly recommend Justin’s personal services and believe he is a tremendous asset for Monarch Air Group.",Postive
173,"We were in the Bahamas recently when the lockdown was implemented causing us to miss our flight out.   Delta wasn’t coming back for us so we had to look elsewhere.  After talking with Blake (employee of the decade) he arranged for an aircraft to pick us up at the island airport.  The pilot was nice and very informative, so we felt super comfortable boarding the plane.  He immediately put all my worries and anixiety at ease with his step by step tutorial.   He wore a mask while piloting us back to the states.  He pointed out islands below and gave us a play by play. The plane was comfortable and clean.  It was one of the smoothest flights I’ve been on. The amazing service did not stop there, Blake arranged for a van to pick us up at the executive airport to take us to the international airport so we wouldn’t miss our connecting flight home.  I would recommend them to anyone and would definitely us them again in the future.",Postive
174,"I recently returned from my first flight using a private commercial carrier, and couldn’t have been more pleased. The pilot kept us informed, the staff were all appropriately masked, and the Pilatus plane was comfortable (and fun!). Christian ably helped me through the reservation process, promptly addressing the many issues that pop up when traveling with family members. I highly recommend this service.",Postive
175,"Christian Renae was extremely helpful and responsive advising and arranging ground transportation at both airports. His interactions were friendly, quick and personal.",Postive
176,"The trip was amazing! The pilots were professional, friendly and very accommodating. I will definitely use Monarch Air Group for future trips.",Postive
177,Great flight to and from. Great pilot Ryan. Just all around great experience.,Postive
178,"Great time really easy, when I fly again going to call Monarch Air Blake was great.",Postive
179,Justin Collom was spectacular.  Trip was a last minute service need and Justin found a plane and was sensitive to budget versus urgency and delivered a great experience.   Def will use Monarch again because of Justin.,Postive
180,Blake Bierman from beginning to end was wonderful in finding a flight and keeping us informed throughout the whole process. The Pilot and Co-Pilot were professional and competent. They assisted my elderly father and mother onto and off of the plane and were very friendly and accommodating to their dog as well! They even put a nice soft blanket on the floor for her. It was a well appreciated kindness. The service allowed my parents to travel at a much lesser risk in these difficult COVID times.,Postive
181,"From start to finish, we were provided excellent advice and seamless service. Pre fight pick up was thoughtfully arranged and the flight itself was perfect. Our two dogs traveling with us were greeted with treats! We would definitely fly with Monarch again.",Postive
182,If I had more than 5 starts I would give it. Perfect customer service and perfect pilot,Postive
183,Everything it’s ok and nice to talk your customers service helpful staff and excellent for her experience! Explain everything good job 👍,Postive
184,he helps me a lot,Postive
185,"There is always room for improvement.  As a first time customer, the service is not bad.",Postive
186,Scaaaam don't want to give me my refund and they ordy received the refund form lofhanza after they said can't give refund until. Lofhanza send the refund ... They stealing my money I never give up I will fighting until get my money or you guys go bankruptcy be careful not recommended,Negative
187,EXCELLENT SERVICE AND BEST AIR FAIR PRICE,Postive
188,Lisa was Great. She assisted me throughout.,Postive
189,"Best price in record time! Clarkson.s was very effective on the phone, listened to my preferences and within minutes sent options to my email. Upon reviewing the website, he initiated the chat to see if I have any questions. Walked me through the process of booking and answered all questions. Very satisfied, would recommend the service to everyone.",Postive
